Location,Price,Total_Area,Price_per_SQFT,Baths,Balcony,BHK,State,Year,District,Temperature (°C),Condition,Humidity (%),Wind Speed (km/h),Disaster
"Kanathur Reddikuppam, Chennai",19900000.0,2583,7700.0,4,Yes,4.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Ramanathan Nagar, Pozhichalur,Chennai",22500000.0,7000,3210.0,6,Yes,10.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Kasthuribai Nagar, West Tambaram,Chennai",10000000.0,1320,7580.0,3,No,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Naveenilaya,Chepauk, Triplicane,Chennai",33300000.0,4250,7840.0,5,Yes,7.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Avadi, Chennai",4800000.0,960,5000.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Siruseri, Chennai",4000000.0,940,4250.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"THIRAN FLATS ,Gowrivakkam, Sembakkam,Chennai",6000000.0,880,6820.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Mahindra World City, Chennai",7234999.999999999,1700,4250.0,3,Yes,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Brindavan Colony, West Tambaram,Chennai",4200000.0,840,5000.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"New Colony, Chromepet,Chennai",3000000.0,535,5610.0,2,No,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Mahindra World City, Chennai",2940000.0,581,5060.0,2,Yes,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Rose Avenue, Pallikaranai,Chennai",13000000.0,1444,9000.0,3,No,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Ramakrishna Puram, West Mambalam,Chennai",85000000.0,6000,14170.0,1,Yes,6.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Deepak home,Mettuppalayam, Ashok Nagar,Chennai",11500000.0,878,13100.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Chimaera Apartments,Madambakkam, Chennai",4900000.0,944,5190.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Perungalathur, Chennai",5700000.0,1317,4330.0,3,No,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"ARUN EXCELLO ,Padappai, Chennai",2500000.0,820,3050.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
